SEP=;
caseID;modality;grid;zone;minRho;maxRho;minTheta;maxTheta;Mean;Stdev;Min;Max;N
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;89; 2,544; 2,918;170,000;190,000;252,296;29,001;119,659;325,275;2734
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;90; 2,544; 2,918;192,500;212,500;234,981;53,551;61,678;326,783;2747
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;91; 2,544; 2,918;215,000;235,000;254,532;50,357;62,687;352,289;2736
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;92; 2,544; 2,918;237,500;257,500;262,291;38,350;73,040;329,760;2748
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;93; 2,544; 2,918;260,000;280,000;262,517;21,403;192,450;335,680;2734
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;94; 2,544; 2,918;282,500;302,500;285,281;24,400;178,209;357,753;2747
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;95; 2,544; 2,918;305,000;325,000;288,072;40,690;115,783;365,827;2736
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;96; 2,544; 2,918;327,500;347,500;297,241;24,999;124,230;359,915;2748
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;97; 2,992; 3,366;-10,000;10,000;291,401;37,268;129,395;381,118;3194
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;98; 2,992; 3,366;12,500;32,500;296,051;33,221;163,314;388,536;3196
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;99; 2,992; 3,366;35,000;55,000;289,905;21,233;202,949;358,621;3191
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;100; 2,992; 3,366;57,500;77,500;285,328;22,095;204,736;346,944;3194
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;101; 2,992; 3,366;80,000;100,000;271,579;37,705;119,659;344,694;3194
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;102; 2,992; 3,366;102,500;122,500;260,633;63,328;57,081;374,634;3196
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;103; 2,992; 3,366;125,000;145,000;266,117;49,881;72,366;371,338;3191
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;104; 2,992; 3,366;147,500;167,500;253,431;26,741;140,444;338,170;3194
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;105; 2,992; 3,366;170,000;190,000;208,810;27,956;94,190;282,900;3194
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;106; 2,992; 3,366;192,500;212,500;218,122;44,695;65,400;306,135;3196
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;107; 2,992; 3,366;215,000;235,000;243,868;41,977;73,236;325,354;3191
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;108; 2,992; 3,366;237,500;257,500;260,822;19,835;175,896;325,113;3194
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;109; 2,992; 3,366;260,000;280,000;253,537;19,365;185,661;308,977;3194
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;110; 2,992; 3,366;282,500;302,500;286,235;19,587;215,561;360,070;3196
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;111; 2,992; 3,366;305,000;325,000;293,932;18,442;229,372;354,930;3191
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;112; 2,992; 3,366;327,500;347,500;282,750;44,229;114,887;364,942;3194
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;113; 3,366; 3,740;-10,000;10,000;291,579;34,467;127,603;369,267;3566
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;114; 3,366; 3,740;12,500;32,500;290,034;31,451;135,002;368,561;3567
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;115; 3,366; 3,740;35,000;55,000;292,506;23,012;210,511;374,866;3568
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;116; 3,366; 3,740;57,500;77,500;286,006;20,520;214,881;351,431;3569
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;117; 3,366; 3,740;80,000;100,000;276,756;20,846;188,930;351,515;3566
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;118; 3,366; 3,740;102,500;122,500;247,497;68,483;56,077;375,526;3567
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;119; 3,366; 3,740;125,000;145,000;262,007;55,057;69,168;352,422;3568
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;120; 3,366; 3,740;147,500;167,500;242,495;34,959;139,478;337,982;3569
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;121; 3,366; 3,740;170,000;190,000;135,830;38,638;41,685;229,754;3566
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;122; 3,366; 3,740;192,500;212,500;188,205;54,807;26,949;283,459;3567
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;123; 3,366; 3,740;215,000;235,000;155,416;82,936;23,612;297,025;3568
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;124; 3,366; 3,740;237,500;257,500;217,661;60,055;32,962;304,089;3569
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;125; 3,366; 3,740;260,000;280,000;241,814;20,560;159,319;307,487;3566
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;126; 3,366; 3,740;282,500;302,500;252,996;59,450;53,369;336,857;3567
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;127; 3,366; 3,740;305,000;325,000;279,664;19,812;202,062;341,258;3568
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;128; 3,366; 3,740;327,500;347,500;277,221;44,787;81,194;367,115;3569
